kind,name,category,face,material,area_sqft,unit,note
floor,Room 1,,,Hardwood,2128.45,,
floor,Room 2,,,Hardwood,712.98,,
wall,19e23489,exterior,outside,Brick,430.99,,
wall,19e23489,exterior,inside,#ffffff,430.99,,
wall,ae14faf8,exterior,inside,#ffffff,429.61,,
wall,ae14faf8,exterior,outside,Stucco,429.61,,
wall,2e880a38,exterior,outside,Stucco,371.04,,
wall,2e880a38,exterior,inside,#ffffff,371.04,,
wall,a6abfc52,exterior,outside,Stucco,370.68,,
wall,a6abfc52,exterior,inside,#ffffff,370.68,,
wall,a6abfc52,exterior,inside,#ffffff,260.45,,
wall,a6abfc52,exterior,outside,Stucco,260.45,,
wall,1ff49109,exterior,inside,#ffffff,260.1,,
wall,1ff49109,exterior,outside,Stucco,260.1,,
wall,a74f9c4e,exterior,outside,Stucco,222.02,,
wall,a74f9c4e,exterior,inside,#ffffff,222.02,,
wall,60fd5480,exterior,inside,#ffffff,207.59,,
wall,60fd5480,exterior,outside,Stucco,207.59,,
wall,0f1dc634,interior,outside,Brick,188.71,,
wall,0f1dc634,interior,inside,#ffffff,188.71,,
